Bevölkerung nach Alter, Geschlecht und Gemeinden, 2012-2015 | population by age, sex and lau2, 2012-2015;;;;;;;;;
NUTS1;NUTS2;NUTS3;LAU2_CODE;LAU2_NAME;AGE_GROUP;POP_TOTAL;POP_MALE;POP_FEMALE;YEAR
AT1;AT12;AT121;30511;Euratsfeld;60_64;126;69;57;2015
AT1;AT12;AT121;30511;Euratsfeld;65_69;67;36;31;2015
AT1;AT12;AT121;30511;Euratsfeld;70_74;77;40;37;2015
AT1;AT12;AT121;30511;Euratsfeld;75_79;75;30;45;2015
AT1;AT12;AT121;30511;Euratsfeld;80_84;59;21;38;2015
AT1;AT12;AT121;30511;Euratsfeld;85_89;27;14;13;2015
AT1;AT12;AT121;30511;Euratsfeld;90_94;15;2;13;2015
AT1;AT12;AT121;30511;Euratsfeld;95_;1;0;1;2015
AT1;AT12;AT121;30512;Ferschnitz;0_4;95;47;48;2015
AT1;AT12;AT121;30512;Ferschnitz;5_9;89;43;46;2015
AT1;AT12;AT121;30512;Ferschnitz;10_14;88;53;35;2015
AT1;AT12;AT121;30512;Ferschnitz;15_19;108;50;58;2015
AT1;AT12;AT121;30512;Ferschnitz;20_24;128;71;57;2015
AT1;AT12;AT121;30512;Ferschnitz;25_29;119;54;65;2015
AT1;AT12;AT121;30512;Ferschnitz;30_34;139;67;72;2015
AT1;AT12;AT121;30512;Ferschnitz;35_39;106;55;51;2015
AT1;AT12;AT121;30512;Ferschnitz;40_44;124;59;65;2015
AT1;AT12;AT121;30512;Ferschnitz;45_49;137;67;70;2015
AT1;AT12;AT121;30512;Ferschnitz;50_54;134;71;63;2015
AT1;AT12;AT121;30512;Ferschnitz;55_59;109;59;50;2015
AT1;AT12;AT121;30512;Ferschnitz;60_64;80;46;34;2015
AT1;AT12;AT121;30512;Ferschnitz;65_69;72;39;33;2015
AT1;AT12;AT121;30512;Ferschnitz;70_74;56;24;32;2015
AT1;AT12;AT121;30512;Ferschnitz;75_79;62;32;30;2015
AT1;AT12;AT121;30512;Ferschnitz;80_84;37;18;19;2015
AT1;AT12;AT121;30512;Ferschnitz;85_89;17;5;12;2015
AT1;AT12;AT121;30512;Ferschnitz;90_94;5;2;3;2015
AT1;AT12;AT121;30512;Ferschnitz;95_;0;0;0;2015
AT1;AT12;AT121;30514;Haag;0_4;255;136;119;2015
AT1;AT12;AT121;30514;Haag;5_9;277;150;127;2015
AT1;AT12;AT121;30514;Haag;10_14;297;159;138;2015
AT1;AT12;AT121;30514;Haag;15_19;300;146;154;2015
AT1;AT12;AT121;30514;Haag;20_24;381;190;191;2015
AT1;AT12;AT121;30514;Haag;25_29;354;184;170;2015
AT1;AT12;AT121;30514;Haag;30_34;378;193;185;2015
AT1;AT12;AT121;30514;Haag;35_39;336;169;167;2015
AT1;AT12;AT121;30514;Haag;40_44;354;184;170;2015
AT1;AT12;AT121;30514;Haag;45_49;427;208;219;2015
AT1;AT12;AT121;30514;Haag;50_54;511;272;239;2015
AT1;AT12;AT121;30514;Haag;55_59;373;186;187;2015
AT1;AT12;AT121;30514;Haag;60_64;270;129;141;2015
AT1;AT12;AT121;30514;Haag;65_69;215;100;115;2015
AT1;AT12;AT121;30514;Haag;70_74;242;100;142;2015
AT1;AT12;AT121;30514;Haag;75_79;207;86;121;2015
AT1;AT12;AT121;30514;Haag;80_84;169;56;113;2015
AT1;AT12;AT121;30514;Haag;85_89;101;30;71;2015
AT1;AT12;AT121;30514;Haag;90_94;40;9;31;2015
AT1;AT12;AT121;30514;Haag;95_;12;2;10;2015
AT1;AT12;AT121;30515;Haidershofen;0_4;157;80;77;2015
AT1;AT12;AT121;30515;Haidershofen;5_9;185;106;79;2015
AT1;AT12;AT121;30515;Haidershofen;10_14;214;119;95;2015
AT1;AT12;AT121;30515;Haidershofen;15_19;220;112;108;2015
AT1;AT12;AT121;30515;Haidershofen;20_24;238;121;117;2015
AT1;AT12;AT121;30515;Haidershofen;25_29;183;106;77;2015
AT1;AT12;AT121;30515;Haidershofen;30_34;192;92;100;2015
AT1;AT12;AT121;30515;Haidershofen;35_39;206;97;109;2015
AT1;AT12;AT121;30515;Haidershofen;40_44;270;131;139;2015
AT1;AT12;AT121;30515;Haidershofen;45_49;312;162;150;2015
AT1;AT12;AT121;30515;Haidershofen;50_54;328;168;160;2015
AT1;AT12;AT121;30515;Haidershofen;55_59;267;139;128;2015
AT1;AT12;AT121;30515;Haidershofen;60_64;198;104;94;2015
AT1;AT12;AT121;30515;Haidershofen;65_69;163;77;86;2015
AT1;AT12;AT121;30515;Haidershofen;70_74;144;68;76;2015
AT1;AT12;AT121;30515;Haidershofen;75_79;145;71;74;2015
AT1;AT12;AT121;30515;Haidershofen;80_84;92;38;54;2015
AT1;AT12;AT121;30515;Haidershofen;85_89;34;17;17;2015
AT1;AT12;AT121;30515;Haidershofen;90_94;14;2;12;2015
AT1;AT12;AT121;30515;Haidershofen;95_;1;0;1;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;0_4;83;44;39;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;5_9;89;38;51;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;10_14;84;37;47;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;15_19;91;45;46;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;20_24;111;55;56;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;25_29;101;43;58;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;30_34;89;50;39;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;35_39;105;53;52;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;40_44;96;49;47;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;45_49;132;69;63;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;50_54;132;65;67;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;55_59;125;65;60;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;60_64;100;54;46;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;65_69;87;41;46;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;70_74;75;26;49;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;75_79;84;42;42;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;80_84;58;26;32;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;85_89;43;20;23;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;90_94;18;6;12;2015
AT1;AT12;AT121;30516;Hollenstein an der Ybbs;95_;1;0;1;2015
AT1;AT12;AT121;30517;Kematen an der Ybbs;0_4;125;63;62;2015
AT1;AT12;AT121;30517;Kematen an der Ybbs;5_9;127;61;66;2015
AT1;AT12;AT121;30517;Kematen an der Ybbs;10_14;125;68;57;2015
